epoch,accuracy,loss,val_accuracy,val_loss
0,0.4647107720375061,1.2231919765472412,0.5475504398345947,1.143251657485962
1,0.6484915614128113,0.8617026209831238,0.5100864768028259,1.219538927078247
2,0.7309715151786804,0.6975829601287842,0.5648415088653564,1.1168133020401
3,0.7849432826042175,0.5524963140487671,0.5619596838951111,1.2020341157913208
4,0.8502629399299622,0.422065794467926,0.5648415088653564,1.429929494857788
5,0.8635482788085938,0.3666490316390991,0.5734870433807373,1.3953847885131836
6,0.8909493684768677,0.3028234839439392,0.5475504398345947,1.4323081970214844
7,0.9083864092826843,0.253719687461853,0.5619596838951111,1.7070982456207275
8,0.9294215440750122,0.21317340433597565,0.5619596838951111,1.6700527667999268
9,0.9233323931694031,0.21312956511974335,0.5619596838951111,1.830701470375061
10,0.9463050365447998,0.1575477570295334,0.530259370803833,1.9544068574905396
11,0.9587600231170654,0.12861016392707825,0.5878962278366089,2.0748958587646484
12,0.9606974720954895,0.12229225039482117,0.5677233338356018,2.0154709815979004
13,0.9604207277297974,0.1287824958562851,0.5533141493797302,2.1395328044891357
14,0.9645723700523376,0.10880017280578613,0.5648415088653564,2.2092387676239014
15,0.9709382653236389,0.09986023604869843,0.5619596838951111,2.3290162086486816
16,0.9698311686515808,0.09047149866819382,0.559077799320221,2.4114134311676025
17,0.9629117250442505,0.10735449939966202,0.5360230803489685,2.722734212875366
18,0.949903130531311,0.13454395532608032,0.5561959743499756,2.395197868347168
19,0.9654027223587036,0.09758378565311432,0.5475504398345947,2.3451695442199707
20,0.9662330746650696,0.09827698767185211,0.5446686148643494,2.4941155910491943
21,0.9731525182723999,0.08029131591320038,0.5619596838951111,2.48043155670166
22,0.973429262638092,0.08527445048093796,0.5360230803489685,2.6311280727386475
23,0.9831165075302124,0.05427488312125206,0.5619596838951111,2.723342180252075
24,0.9778577089309692,0.06708965450525284,0.5331411957740784,2.78175687789917
